PListReader::createAnimationWithPlist animation malicia_tower_block_decal with file boss_spider_net_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation malicia_tower_block_start with file boss_spider_net_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_walkingUp with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_idle with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_walkingDown with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_walkingRightLeft with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_attack with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation gnoll_death with file miniboss_gnoll_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation stage15_bossDecal_demon_sleep_layer with file stage15_bossDecal_demon_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation stage15_bossDecal_demon_blink_layer with file stage15_bossDecal_demon_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation stage15_bossDecal_demon_idle_layer with file stage15_bossDecal_demon_animations.plist, frame not load!
PListReader::createAnimationWithPlist failed to create with file [logo_animations.plist]
